Date,Time,Intraday Price,Volume,DateTime
8/31/2024,23:00,81.41,1392.6,08/31/2024 23:00
8/31/2024,23:30,80.75,1239.45,08/31/2024 23:30
9/1/2024,00:00,72.59,1685.05,09/01/2024 00:00
9/1/2024,00:30,70.94,1669.6,09/01/2024 00:30
9/1/2024,01:00,70.27,1496.75,09/01/2024 01:00
9/1/2024,01:30,70.32,1401.25,09/01/2024 01:30
9/1/2024,02:00,74.6,1601.9,09/01/2024 02:00
9/1/2024,02:30,70.66,1755.7,09/01/2024 02:30
9/1/2024,03:00,72.32,1944.55,09/01/2024 03:00
9/1/2024,03:30,72.02,1903.2,09/01/2024 03:30
9/1/2024,04:00,70.57,1742,09/01/2024 04:00
9/1/2024,04:30,67.82,1906,09/01/2024 04:30
9/1/2024,05:00,66.35,2080.85,09/01/2024 05:00
9/1/2024,05:30,67.93,1964.05,09/01/2024 05:30
9/1/2024,06:00,59.97,1787.45,09/01/2024 06:00
9/1/2024,06:30,64.68,1935.45,09/01/2024 06:30
9/1/2024,07:00,49.73,2534.05,09/01/2024 07:00
9/1/2024,07:30,60.44,2317.95,09/01/2024 07:30
9/1/2024,08:00,32.75,2252.6,09/01/2024 08:00
9/1/2024,08:30,34.58,2169.45,09/01/2024 08:30
9/1/2024,09:00,33.53,2207.35,09/01/2024 09:00
9/1/2024,09:30,32.75,2414.6,09/01/2024 09:30
9/1/2024,10:00,34.99,2216.1,09/01/2024 10:00
9/1/2024,10:30,39.04,2139.55,09/01/2024 10:30
9/1/2024,11:00,37.6,2127.15,09/01/2024 11:00
9/1/2024,11:30,33.82,2011.6,09/01/2024 11:30
9/1/2024,12:00,23.31,2246.7,09/01/2024 12:00
9/1/2024,12:30,19.13,2151.9,09/01/2024 12:30
9/1/2024,13:00,21.11,2437.35,09/01/2024 13:00
9/1/2024,13:30,22.98,2252.8,09/01/2024 13:30
9/1/2024,14:00,25.21,2108.7,09/01/2024 14:00
9/1/2024,14:30,51.69,2086.9,09/01/2024 14:30
9/1/2024,15:00,73.27,2085.95,09/01/2024 15:00
9/1/2024,15:30,73.24,2253.1,09/01/2024 15:30
9/1/2024,16:00,91.83,2273.35,09/01/2024 16:00
9/1/2024,16:30,88.31,2449.55,09/01/2024 16:30
9/1/2024,17:00,104.96,2014.25,09/01/2024 17:00
9/1/2024,17:30,105.26,2195.1,09/01/2024 17:30
9/1/2024,18:00,109.32,1707.65,09/01/2024 18:00
9/1/2024,18:30,110.45,1736.65,09/01/2024 18:30
9/1/2024,19:00,106.93,2013.1,09/01/2024 19:00
9/1/2024,19:30,101.78,2076.85,09/01/2024 19:30
9/1/2024,20:00,104.26,1763.1,09/01/2024 20:00
9/1/2024,20:30,96.5,1682.1,09/01/2024 20:30
9/1/2024,21:00,94.35,2094.85,09/01/2024 21:00
9/1/2024,21:30,87.07,1833,09/01/2024 21:30
9/1/2024,22:00,86.98,1436.55,09/01/2024 22:00
9/1/2024,22:30,86.12,1408.75,09/01/2024 22:30
9/1/2024,23:00,79.17,1490.4,09/01/2024 23:00
9/1/2024,23:30,82.26,1569.2,09/01/2024 23:30
9/2/2024,00:00,85,1601.5,09/02/2024 00:00
9/2/2024,00:30,83.31,1463,09/02/2024 00:30
9/2/2024,01:00,80.72,1559.95,09/02/2024 01:00
9/2/2024,01:30,81.35,1601.1,09/02/2024 01:30
9/2/2024,02:00,78.01,1378.3,09/02/2024 02:00
9/2/2024,02:30,80.41,1599.4,09/02/2024 02:30
9/2/2024,03:00,87.73,1405.2,09/02/2024 03:00
9/2/2024,03:30,81.78,1891.25,09/02/2024 03:30
9/2/2024,04:00,102.01,1563.9,09/02/2024 04:00
9/2/2024,04:30,97.8,1519.55,09/02/2024 04:30
9/2/2024,05:00,115.17,1999.25,09/02/2024 05:00
9/2/2024,05:30,123.04,2471.85,09/02/2024 05:30
9/2/2024,06:00,115.86,2642.8,09/02/2024 06:00
9/2/2024,06:30,121.24,2781.35,09/02/2024 06:30
9/2/2024,07:00,102.68,2886.3,09/02/2024 07:00
9/2/2024,07:30,108.81,2727.05,09/02/2024 07:30
9/2/2024,08:00,107.82,2345.85,09/02/2024 08:00
9/2/2024,08:30,106.72,2341.4,09/02/2024 08:30
9/2/2024,09:00,106.83,2765.95,09/02/2024 09:00
9/2/2024,09:30,103.83,2423.6,09/02/2024 09:30
9/2/2024,10:00,98.3,1992.05,09/02/2024 10:00
9/2/2024,10:30,96.36,2134.45,09/02/2024 10:30
9/2/2024,11:00,96.97,2299.1,09/02/2024 11:00
9/2/2024,11:30,91.94,2757.45,09/02/2024 11:30
9/2/2024,12:00,84.9,2755.15,09/02/2024 12:00
9/2/2024,12:30,85.31,3103.2,09/02/2024 12:30
9/2/2024,13:00,82.36,3000.75,09/02/2024 13:00
9/2/2024,13:30,81.49,3494.55,09/02/2024 13:30
9/2/2024,14:00,78.06,2859.65,09/02/2024 14:00
9/2/2024,14:30,78.08,3119.55,09/02/2024 14:30
9/2/2024,15:00,79.6,3276.8,09/02/2024 15:00
9/2/2024,15:30,80.31,2711.45,09/02/2024 15:30
9/2/2024,16:00,91.89,2151,09/02/2024 16:00
9/2/2024,16:30,88.46,2685.9,09/02/2024 16:30
9/2/2024,17:00,108.18,2413.55,09/02/2024 17:00
9/2/2024,17:30,109.86,2472.75,09/02/2024 17:30
9/2/2024,18:00,107.56,2545.5,09/02/2024 18:00
9/2/2024,18:30,104.61,2821.65,09/02/2024 18:30
9/2/2024,19:00,95.6,2852.3,09/02/2024 19:00
9/2/2024,19:30,93.43,2992,09/02/2024 19:30
9/2/2024,20:00,84.79,2804.2,09/02/2024 20:00
9/2/2024,20:30,84.5,2820.35,09/02/2024 20:30
9/2/2024,21:00,80.93,2307.35,09/02/2024 21:00
9/2/2024,21:30,87.01,2451.7,09/02/2024 21:30
9/2/2024,22:00,85.81,1679.05,09/02/2024 22:00
9/2/2024,22:30,85.87,1250.8,09/02/2024 22:30
9/2/2024,23:00,85.85,1309.35,09/02/2024 23:00
9/2/2024,23:30,84.78,1203.3,09/02/2024 23:30
9/3/2024,00:00,83.78,1483.95,09/03/2024 00:00
9/3/2024,00:30,82.32,1497,09/03/2024 00:30
9/3/2024,01:00,79.08,1400,09/03/2024 01:00
9/3/2024,01:30,78.18,1726.75,09/03/2024 01:30
9/3/2024,02:00,82.74,1268.55,09/03/2024 02:00
9/3/2024,02:30,81.32,1358.95,09/03/2024 02:30
9/3/2024,03:00,77.45,1216.85,09/03/2024 03:00
9/3/2024,03:30,81.42,1539.7,09/03/2024 03:30
9/3/2024,04:00,78.52,1455.4,09/03/2024 04:00
9/3/2024,04:30,78.43,1210.9,09/03/2024 04:30
9/3/2024,05:00,86.31,1634.65,09/03/2024 05:00
9/3/2024,05:30,97.05,1721.9,09/03/2024 05:30
9/3/2024,06:00,89.38,3214.5,09/03/2024 06:00
9/3/2024,06:30,105.44,3534.4,09/03/2024 06:30
9/3/2024,07:00,97.84,2940,09/03/2024 07:00
9/3/2024,07:30,99.23,3625.45,09/03/2024 07:30
9/3/2024,08:00,79.77,2794.95,09/03/2024 08:00
9/3/2024,08:30,89.13,2325.35,09/03/2024 08:30
9/3/2024,09:00,87.74,2970.85,09/03/2024 09:00
9/3/2024,09:30,79.44,2802.95,09/03/2024 09:30
9/3/2024,10:00,82.26,2349.95,09/03/2024 10:00
9/3/2024,10:30,77.75,2443.75,09/03/2024 10:30
9/3/2024,11:00,81.7,2727.5,09/03/2024 11:00
9/3/2024,11:30,83.07,2475.2,09/03/2024 11:30
9/3/2024,12:00,81.31,2265.1,09/03/2024 12:00
9/3/2024,12:30,79.94,2559.6,09/03/2024 12:30
9/3/2024,13:00,78.64,3141.55,09/03/2024 13:00
9/3/2024,13:30,80.79,3036.85,09/03/2024 13:30
9/3/2024,14:00,85.92,2352.4,09/03/2024 14:00
